title_english,Horror,Boys Love,Suspense,Adventure,Girls Love,Sci-Fi,Erotica,Hentai,Fantasy,Romance,Drama,Avant Garde,Award Winning,Sports,Action,Slice of Life,Comedy,Mystery,Ecchi,Gourmet,Supernatural,Cluster
Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
Strawberry 100%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
InuYasha,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
Zatch Bell!,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
Kyou kara Maou!,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
Madlax,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11
Haré+Guu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
Haré+Guu Deluxe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
Jungle wa Itsumo Hare nochi Guu Final,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6
Voices of a Distant Star,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3
Ikki Tousen: Battle Vixens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Hitsuji no Uta,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Happy☆Lesson,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Happy☆Lesson (TV),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
Happy☆Lesson Advance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Happy☆Lesson The Final,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Fighting Spirit,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
